actual_MLR,pred_MLR,error_MLR,actual_MLR,pred_MLR,error_MLR,actual_MLR,pred_MLR,error_MLR,actual_MLR,pred_MLR,error_MLR,lable,index
2.75,2.129,-0.621,2.75,2.083,-0.667,2.75,2.206,-0.544,2.353,1.43,-0.923,CV,1
2.36,2.807,0.447,2.36,2.719,0.359,2.36,2.795,0.435,5.901,7.2,1.299,CV,2
2.568,2.467,-0.101,2.568,2.507,-0.061,2.568,2.557,-0.011,3.106,2.27,-0.836,CV,3
2.21,2.364,0.154,2.21,2.522,0.312,2.21,2.438,0.228,2.779,2.949,0.17,CV,4
2.324,2.598,0.274,2.324,2.457,0.133,2.324,2.552,0.228,1.305,1.877,0.572,CV,5
1.57,1.865,0.295,1.57,1.236,-0.334,1.57,1.723,0.153,0.842,1.051,0.209,CV,6
2.313,2.133,-0.18,2.313,2.218,-0.095,2.313,2.195,-0.118,1.367,1.616,0.249,CV,7
2.47,1.839,-0.631,2.47,1.626,-0.844,2.47,1.999,-0.471,1.5,1.611,0.111,CV,8
1.73,2.05,0.32,1.73,2.048,0.318,1.73,2.075,0.345,1.194,0.838,-0.356,CV,9
3.8,3.944,0.144,3.8,3.424,-0.376,3.8,3.822,0.022,1.565,1.747,0.182,CV,10
2.672,2.412,-0.26,2.672,2.528,-0.144,2.672,2.747,0.075,2.357,2.645,0.288,CV,11
2.721,2.369,-0.352,2.721,2.399,-0.322,2.721,2.441,-0.28,1.151,0.741,-0.41,CV,12
1.8,1.975,0.175,1.8,2.076,0.276,1.8,1.771,-0.029,1.785,1.6,-0.185,CV,13
1.43,2.042,0.612,1.43,2.29,0.86,1.43,2.062,0.632,1.67,0.985,-0.685,CV,14
3.55,3.379,-0.171,3.55,3.561,0.011,3.55,3.385,-0.165,1.72,1.219,-0.501,CV,15
3.33,3.261,-0.069,3.33,2.979,-0.351,3.33,3.424,0.094,2.891,3.069,0.178,CV,16
1.997,1.447,-0.55,1.997,1.401,-0.596,1.997,1.327,-0.67,3.766,2.764,-1.002,CV,17
3.053,2.759,-0.294,3.053,2.885,-0.168,3.053,2.941,-0.112,2.943,2.6,-0.343,CV,18
3.325,3.228,-0.097,3.325,3.268,-0.057,3.325,3.275,-0.05,2.098,2.296,0.198,CV,19
4.804,5.012,0.208,4.804,4.213,-0.591,4.804,4.856,0.052,2.23,1.981,-0.249,CV,20
2.37,2.869,0.499,2.37,2.862,0.492,2.37,2.923,0.553,2.076,1.214,-0.862,CV,21
